ID,Chapter,Verse,Shloka,Transliteration,HinMeaning,EngMeaning_x,WordMeaning,Keywords,concept,EngMeaning_y,context_tags
BG1.11,1,11,"अयनेषु च सर्वेषु यथाभागमवस्थिताः |
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ||१-११||","ayaneṣu ca sarveṣu yathābhāgamavasthitāḥ .
bhīṣmamevābhirakṣantu bhavantaḥ sarva eva hi ||1-11||",।।1.11।।विभिन्न मोर्चों पर अपने-अपने स्थान पर स्थित रहते हुए आप सब लोग भीष्म पितामह की ही सब ओर से रक्षा करें।,"1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone.""",1.11 अयनेषु in the arrays (of the army)? च and? सर्वेषु in all? यथाभागम् according to division? अवस्थिताः being stationed? भीष्मम् Bhishma? एव alone? अभिरक्षन्तु protect? भवन्तः ye? सर्वे all? एव even? हि indeed.No Commentary.,"the, arrays, the, army, and, all, according, division, being, stationed, bhishma, alone, protect, all, even, indeed, commentary",Existence,All of you should give full support to Bhishma from your respective positions at the exits of the battle formation.,"Duty, Discipline"
BG1.12,1,12,"तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ||१-१२||","tasya sañjanayanharṣaṃ kuruvṛddhaḥ pitāmahaḥ .
siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān ||1-12||","।।1.12।।उस समय कौरवों में वृद्ध, प्रतापी पितामह भीष्म ने उस (दुर्योधन) के हृदय में हर्ष उत्पन्न करते हुये उच्च स्वर में गरज कर शंखध्वनि की।","1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch.",1.12 तस्य his (Duryodhanas)? संजयन् causing? हर्षम् joy? कुरुवृद्धः oldest of the Kurus? पितामहः grandfather? सिंहनादम् lions roar? विनद्य having sounded? उच्चैः loudly? शङ्खम् conch? दध्मौ blew? प्रतापवान् the glorious.No Commentary.,"his, duryodhanas, causing, joy, oldest, the, kurus, grandfather, lions, roar, having, sounded, loudly, conch, blew, the, glorious, commentary",,"Then the great grandfather of the Kuru dynasty, Bhishma, blew his conchshell loudly like a lion's roar, giving joy to Duryodhana.","Duty, Moral Conflict"
BG1.13,1,13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ||१-१३||","tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ .
sahasaivābhyahanyanta sa śabdastumulo.abhavat ||1-13||","।।1.13।।तत्पश्चात् शंख, नगारे, ढोल व शृंगी आदि वाद्य एक साथ ही बज उठे, जिनका बड़ा भयंकर शब्द हुआ।","1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous.",1.13 ततः then शङ्खाः conches? च and? भेर्यः kettledrums? च and? पणवानकगोमुखाः tabors? drums and cowhorns? सहसा एव ite suddenly? अभ्यहन्यन्त blared forth? सः that? शब्दः sound? तुमुलः tremendous? अभवत् was.No Commentary.,"then, conches, and, kettledrums, and, tabors, drums, and, cowhorns, ite, suddenly, blared, forth, that, sound, tremendous, was, commentary",,"After that, the conchshells, drums, bugles, trumpets, and horns all suddenly blared forth and the sound was tumultuous.","Moral Conflict, Fear"
BG1.14,1,14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ||१-१४||","tataḥ śvetairhayairyukte mahati syandane sthitau .
mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ ||1-14||",।।1.14।।इसके उपरान्त श्वेत अश्वों से युक्त भव्य रथ में बैठे हुये माधव (श्रीकृष्ण) और पाण्डुपुत्र अर्जुन ने भी अपने दिव्य शंख बजाये।,"1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches.",1.14 ततः then? श्वेतैः (with) white? हयैः horses? युक्ते yoked? महति magnificent? स्यन्दने in the chariot? स्थितौ seated? माधवः Madhava? पाण्डवः Pandava? the son of Pandu? च and? एव also? दिव्यौ divine? शङ्खौ conches? प्रदध्मतुः blew.No Commentary.,"then, with, white, horses, yoked, magnificent, the, chariot, seated, madhava, pandava, the, son, pandu, and, also, divine, conches, blew, commentary",,"Then, from the other side, Lord Krishna and Arjuna, stationed in their great chariot yoked to white horses, blew their transcendental conchshells.","Duty, Devotion"
BG1.15,1,15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः |
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ||१-१५||","pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanañjayaḥ .
pauṇḍraṃ dadhmau mahāśaṅkhaṃ bhīmakarmā vṛkodaraḥ ||1-15||","।।1.15।।भगवान् हृषीकेश ने पांचजन्य, धनंजय (अर्जुन) ने देवदत्त तथा भयंकर कर्म करने वाले भीम ने पौण्डू नामक महाशंख बजाया।","1.15. Hrishikesha blew the Panchajanya and Arjuna blew the Devadatta
and Bhima (the wolf-bellied), the doer of terrible deeds, blew the great
conch Paundra.",1.15 पाञ्चजन्यम् (the conch named) Panchajanya? हृषीकेशः (the Lord of the senses) Krishna? देवदत्तम् (the conch named) Devadatta? धनञ्जयः (the victor of wealth) Arjuna? पौण्ड्रम् (the conch named) Poundra? दध्मौ blew? महाशङ्खम् great conch? भीमकर्मा doer of terrible dees? वृकोदरः (having the belly of a wolf) Bhima.No Commentary.,"the, conch, named, panchajanya, the, lord, the, senses, krishna, the, conch, named, devadatta, the, victor, wealth, arjuna, the, conch, named, poundra, blew, great, conch, doer, terrible, dees, having, the, belly, wolf, bhima, commentary",,"Lord Krishna blew His conchshell called Panchajanya; Arjuna blew his, called Devadatta; and Bhima the voracious eater, blew his terrific conchshell called Paundra.","Duty, Moral Conflict"
BG1.16,1,16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ||१-१६||","anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ .
nakulaḥ sahadevaśca sughoṣamaṇipuṣpakau ||1-16||",।।1.16।।कुन्तीपुत्र राजा युधिष्ठिर ने अनन्त विजय नामक शंख और नकुल व सहदेव ने क्रमश:  सुघोष और मणिपुष्पक नामक शंख बजाये।,"1.16. The king Yodhishthira, the son of Kunti, blew the Anantavijaya;
Nakula and Sahadeva blew the Sughosha and the Manipushpaka.",1.16 अनन्तविजयम् (the conch named) Anantavijayam? राजा the king? कुन्तीपुत्रः son of Kunti? युधिष्ठिरः Yudhishthira? नकुलः Nakula? सहदेवः Sahadeva? च and? सुघोषमणिपुष्पकौ (the conches named) Sughosha and Manipushpaka.No Commentary.,"the, conch, named, anantavijayam, the, king, son, kunti, yudhishthira, nakula, sahadeva, and, the, conches, named, sughosha, and, manipushpaka, commentary",Ego,"King Yudhishthira, the son of Kunti, blew his conchshell Anantavijaya; Nakula and Sahadeva blew theirs — Sughosa and Manipushpaka.",Duty
BG1.17,1,17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः |
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ||१-१७||","kāśyaśca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ .
dhṛṣṭadyumno virāṭaśca sātyakiścāparājitaḥ ||1-17||","।।1.17।।श्रेष्ठ धनुषवाले काशिराज, महारथी शिखण्डी, धृष्टद्युम्न,  राजा विराट और अजेय सात्यकि।","1.17. The king of Kasi, an exellent archer, Sikhandi, the mighty
car-warrior, Dhrishtadyumna and Virata and Satyaki, the unconered.",1.17 काश्यः Kasya? the king of Kasi? च and? परमेष्वासः an excellent archer? शिखण्डी Sikhandi? च and? महारथः mighty carwarrior? धृष्टद्युम्नः Dhrishtadyumna? विराटः Virata? च  and? सात्यकिः Satyaki? च and? अपराजितः unconered.No Commentary.,"kasya, the, king, kasi, and, excellent, archer, sikhandi, and, mighty, carwarrior, dhrishtadyumna, virata, and, satyaki, and, unconered, commentary",Ego,"The great archer the King of Kashi, the great warrior Shikhandi, Dhrishtadyumna, Virata, and the unconquerable Satyaki also blew their conchshells.","Duty, Moral Conflict"
BG1.18,1,18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ||१-१८||","drupado draupadeyāśca sarvaśaḥ pṛthivīpate .
saubhadraśca mahābāhuḥ śaṅkhāndadhmuḥ pṛthakpṛthak ||1-18||","।।1.18।।हे राजन् ! राजा द्रुपद,  द्रौपदी के पुत्र और महाबाहु सौभद्र (अभिमन्यु) इन सब ने अलग-अलग शंख बजाये।","1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately.",1.18 द्रुपदः Drupada? द्रौपदेयाः the sons of Draupadi? च and? सर्वशः all? पृथिवीपते O Lord of the earth? सौभद्रः the son of Subhadra (Abhimanyu)? च and महाबाहुः the mightyarmed? शङ्खान् conches? दध्मुः blew? पृथक् पृथक् separately.Commentary This blowing of conches announced the commencement of the battle.,"drupada, the, sons, draupadi, and, all, lord, the, earth, the, son, subhadra, abhimanyu, and, the, mightyarmed, conches, blew, separately, commentary, this, blowing, conches, announced, the, commencement, the, battle",Dharma,"King Drupada, the sons of Draupadi, and the son of Subhadra, with his powerful arms — all blew their respective conchshells.","Duty, Moral Conflict"
BG1.19,1,19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) ||१-१९||","sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat .
nabhaśca pṛthivīṃ caiva tumulo.abhyanunādayan (lo vyanu)||1-19||",।।1.19।।वह भयंकर घोष आकाश और पृथ्वी पर गूँजने लगा और उसने धृतराष्ट्र के पुत्रों के हृदय विदीर्ण कर दिये।,"1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound.",1.19 सः that? घोषः uproar? धार्तराष्ट्राणाम् of Dhritarashtras party? हृदयानि hearts? व्यदारयत् rent? नभः sky? च and? पृथिवीम् earth? च and? एव also? तुमुलः tumultuous? व्यनुनादयन् resounding.No Commentary.,"that, uproar, dhritarashtras, party, hearts, rent, sky, and, earth, and, also, tumultuous, resounding, commentary",,"The blowing of these conchshells became uproarious and, vibrating in both the sky and the earth, shattered the hearts of the sons of Dhritarashtra.","Fear, Moral Conflict"
BG1.20,1,20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |
हृषीकेशं तदा वाक्यमिदमाह महीपते ||१-२०||","atha vyavasthitāndṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ .
pravṛtte śastrasampāte dhanurudyamya pāṇḍavaḥ ||1-20||",।।1.20।।हे महीपते ! इस प्रकार जब युद्ध प्रारम्भ होने वाला ही था कि कपिध्वज अर्जुन ने धृतराष्ट्र के पुत्रों को स्थित देखकर धनुष उठाकर भगवान् हृषीकेश से ये शब्द कहे।,"1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth.",1.20 अथ now? व्यवस्थितान् standing arrayed? दृष्ट्वा seeing? धार्तराष्ट्रान् Dhritarashtras party? कपिध्वजः monkeyensigned? प्रवृत्ते about to begin? शस्त्रसंपाते discharge of weapons? धनुः bow? उद्यम्य having taken up? पाण्डवः the son of Pandu? हृषीकेशम् to Hrishikesha? तदा then? वाक्यम् word? इदम् this? आह said? महीपते O Lord of the earth.No Commentary.,"now, standing, arrayed, seeing, dhritarashtras, party, monkeyensigned, about, begin, discharge, weapons, bow, having, taken, the, son, pandu, hrishikesha, then, word, this, said, lord, the, earth, commentary",,"At that time Arjuna, the son of Pandu, who was seated in his chariot bearing the flag marked with Hanuman, took up his bow and, seeing Dhritarashtra's sons arrayed before him, was prepared to shoot his arrows.","Duty, Moral Conflict"
BG1.21,1,21,"अर्जुन उवाच |
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ||१-२१||","hṛṣīkeśaṃ tadā vākyamidamāha mahīpate .
arjuna uvāca .
senayorubhayormadhye rathaṃ sthāpaya me.acyuta ||1-21||",।।1.21।।अर्जुन ने कहा -- हे! अच्युत मेरे रथ को दोनों सेनाओं के मध्य खड़ा कीजिये।,"1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",1.21 -- 1.22 सेनयोः of the armies? उभयोः of both? मध्ये in the middle? रथम् car? स्थापय place? मे my? अच्युत O Achyuta (O changeless? Krishna)? यावत् while? एतान् these? निरीक्षे behold? अहम् I? योद्धुकामान् desirous to fight? अवस्थितान् standing? कैः with whom? मया by me? सह together? योद्धव्यम् must be fought? अस्मिन् in this? रणसमुद्यमे eve of battle.No Commentary.,"the, armies, both, the, middle, car, place, achyuta, changeless, krishna, while, these, behold, desirous, fight, standing, with, whom, together, must, fought, this, eve, battle, commentary",Dharma,"Arjuna said: O infallible one, please draw my chariot between the two armies so that I may see who is present here, who has come to fight, and with whom I must contend.","Confusion, Moral Conflict"
BG1.22,1,22,"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ||१-२२||","yāvadetānnirikṣe.ahaṃ yoddhukāmānavasthitān .
kairmayā saha yoddhavyamasmin raṇasamudyame ||1-22||",।।1.22।।जिससे मैं युद्ध की इच्छा से खड़े इन लोगों का निरीक्षण कर सकूँ कि इस युद्ध में मुझे किनके साथ युद्ध करना है।,"1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence.",1.21 -- 1.22 सेनयोः of the armies? उभयोः of both? मध्ये in the middle? रथम् car? स्थापय place? मे my? अच्युत O Achyuta (O changeless? Krishna)? यावत् while? एतान् these? निरीक्षे behold? अहम् I? योद्धुकामान् desirous to fight? अवस्थितान् standing? कैः with whom? मया by me? सह together? योद्धव्यम् must be fought? अस्मिन् in this? रणसमुद्यमे eve of battle.No Commentary.,"the, armies, both, the, middle, car, place, achyuta, changeless, krishna, while, these, behold, desirous, fight, standing, with, whom, together, must, fought, this, eve, battle, commentary",Dharma,"Let me see those who have come here to fight, wishing to please the evil-minded son of Dhritarashtra.","Moral Conflict, Duty"
